neo_id,name,estimated_diameter_max_km,estimated_diameter_min_km,miss_distance_km,miss_distance_lunar,relative_velocity_kph,absolute_magnitude_h,num_close_approaches_in_window,is_potentially_hazardous_asteroid,size_to_distance_ratio,approach_category,priority_watch,station_name,confidence_score,tracking_status,total_known_neos,scaled_size_to_distance_ratio
3660383,(2014 CE),0.0247765013,0.0110803882,21766254.25891773,56.5988867804,61350.2643325003,26.9,1,False,0.00043775598265971576,moderate,0,,,,39123,0.004948846119573738
3025766,(2000 AA6),0.1932146172,0.0864082036,41063586.79972418,106.7778255472,86907.7754552941,22.44,1,True,0.0018095013286685776,distant,0,,,,39123,0.022286939441215972
3666430,(2014 FA7),0.0271668934,0.0121494041,48234706.2419419,125.4249190053,22722.9900813197,26.7,1,False,0.00021659885145193538,distant,0,,,,39123,0.0021535437766253113
3767609,(2017 BM92),0.1032856481,0.046190746,63338392.06140595,164.6990997391,36654.2509258156,23.8,1,False,0.0006271172596791051,distant,0,,,,39123,0.007342266663714814
3802409,(2018 GY),0.0642746882,0.0287445144,70376296.14124674,182.9997927039,54744.2136582588,24.83,1,False,0.0003512282022308007,distant,0,,,,39123,0.0038551834099782166
3986773,(2020 BV1),0.1968067451,0.0880146521,32431639.654060565,84.3321353802,65879.3704932857,22.4,1,False,0.002333709969666053,distant,0,,,,39123,0.028912643230967896
2001620,1620 Geographos (1951 RA),5.2485577338,2.3472263753,25497054.460507847,66.3001029703,30101.5270134739,15.27,1,True,0.07916364377520138,distant,0,,,,39123,1.0
3401388,(2008 CO),0.1794898848,0.0802703167,23952431.604551643,62.2836133574,15925.6083970287,22.6,1,False,0.002881815539025315,distant,0,,,,39123,0.035840390818603116
3686083,(2014 QL433),0.6223575734,0.2783267681,19855378.178377435,51.6300272951,91237.3399872767,19.9,1,True,0.012054178663180088,moderate,0,,,,39123,0.15177392636096315
3824114,(2018 KC),0.0187948982,0.008405334,66504035.49067463,172.9307362857,30959.0673161298,27.5,1,False,0.00010868454390287697,distant,0,,,,39123,0.0007895673356118283
2620082,620082 (2014 QL433),0.6281161771,0.2809020939,19855471.572327673,51.6302701478,91237.4134004653,19.88,1,True,0.012165657380872032,moderate,0,,,,39123,0.1531829549509588
3645042,(2013 ND15),0.0899580388,0.040230458,19885833.13323459,51.7092194483,66819.5685210078,24.1,1,False,0.0017396905186306672,moderate,0,,,,39123,0.021404569879825888
3646734,(2013 QC11),0.2871044863,0.1283970296,5543552.136998738,14.4149230286,68302.9163533478,21.58,1,True,0.019917170957511804,close,0,,,,39123,0.25115774755134057
3727045,(2015 RW35),0.008590926,0.0038419789,71486389.66378574,185.886373778,72775.6478541256,29.2,1,False,4.621600725968195e-05,distant,0,,,,39123,0.0
3414400,(2008 MQ1),0.0859092601,0.0384197891,57492050.78373066,149.4968327749,53937.8424403394,24.2,1,False,0.00057465605461592,distant,0,,,,39123,0.006679186397543138
3448109,(2009 DB12),0.331161605,0.1480999721,57311161.91621723,149.0264666563,81105.287470393,21.27,1,False,0.002222166387154294,distant,0,,,,39123,0.027502794785958715
3467149,(2009 RA4),0.2844722965,0.1272198785,67012722.522781864,174.2534774149,13272.516376753,21.6,1,False,0.0016325200548088197,distant,0,,,,39123,0.020049995207148362
3468430,(2009 SZ99),0.8129053443,0.3635423218,58975198.23506418,153.3534676225,68162.5513416154,19.32,1,False,0.005300860534181561,distant,0,,,,39123,0.06641576546616516
3723817,(2015 MO116),0.0941976306,0.0421264611,39236668.4696191,102.02728177,37388.0443104014,24.0,1,False,0.0009232592397428525,distant,0,,,,39123,0.011085335522479506
3879543,(2019 UF5),0.0450858206,0.0201629919,40935311.66764739,106.4442711565,36947.3429886548,25.6,1,False,0.0004235626784809531,distant,0,,,,39123,0.00476945069963677
3410474,(2008 JM20),0.3750075218,0.1677084622,64469063.040239625,167.6391884634,87892.073309781,21.0,1,False,0.002236991989983738,distant,0,,,,39123,0.027690182106903077
3724198,(2015 NJ24),0.3133574171,0.1401376972,55487031.432178326,144.2831721275,28380.2176230294,21.39,1,False,0.00217182234407137,distant,0,,,,39123,0.02686647426210918
3766322,(2017 AV3),0.6887156928,0.3080030213,42346249.57351273,110.1131392051,89665.9042331952,19.68,1,False,0.006254618638355026,distant,0,,,,39123,0.07847073402468455
3563709,(2011 HH),0.0517654482,0.0231502122,69990070.59871192,181.9954887252,24114.062672706,25.3,1,False,0.0002844325898548072,distant,0,,,,39123,0.003010924259239509
3666685,(2014 FO38),0.0319183166,0.0142743051,74726688.69833517,194.3121376237,60330.6960412471,26.35,1,False,0.000164263112898342,distant,0,,,,39123,0.0014920493369034
3789741,(2017 WY27),0.0156329154,0.0069912523,32285715.698310748,83.9526886756,26802.8928894078,27.9,1,False,0.00018621101535421755,distant,0,,,,39123,0.00176945853832803
3794969,(2017 YD1),0.0059434687,0.002658,45947270.18212684,119.476888948,39879.9239610312,30.0,1,False,4.974576047579193e-05,distant,0,,,,39123,4.4614104827359314e-05
3825135,(2018 LV2),0.0517654482,0.0231502122,41609902.887182504,108.1984136747,26844.5362392677,25.3,1,False,0.0004784307499704526,distant,0,,,,39123,0.005462952410162956
3746623,(2016 EF156),0.0682401509,0.0305179233,73046158.0923367,189.94224649,78760.0113082632,24.7,1,False,0.0003592678941153446,distant,0,,,,39123,0.003956800615079033
3879168,(2019 TZ6),0.0171411509,0.0076657557,57188453.03664719,148.7073862165,32342.957523633,27.7,1,False,0.00011526764968516461,distant,0,,,,39123,0.0008727741077227276
3893638,(2019 WC4),0.1968067451,0.0880146521,36198395.40450944,94.1268469421,35827.6847935388,22.4,1,False,0.002090867287003263,distant,0,,,,39123,0.025843247656391472
3989138,(2020 BV5),0.0306224531,0.0136947774,55406601.55855259,144.074029973,61893.3531288877,26.44,1,False,0.00021254665470063383,distant,0,,,,39123,0.002102326277957546
3297182,(2005 UE1),0.0342010925,0.0152951935,71146097.41420485,185.0015103432,65506.1422056556,26.2,1,False,0.00018486926099442577,distant,0,,,,39123,0.0017524995142843356
3651160,(2013 TH135),0.4074177807,0.1822027706,60284890.77087837,156.7590668896,7966.53716768,20.82,1,False,0.002599006161391164,distant,0,,,,39123,0.03226583859145469
3842867,(2019 LR4),0.0542050786,0.0242412481,14332478.072211556,37.2688058332,31181.5867642841,25.2,1,False,0.0014544356168158395,moderate,0,,,,39123,0.017799107595946977
3843605,(2019 QR1),0.0748238376,0.0334622374,62238840.16221352,161.8399300946,59473.9272331836,24.5,1,False,0.0004623323648018345,distant,0,,,,39123,0.005259477832907536
2357621,357621 (2005 EG94),1.0186851583,0.4555698523,12358639.659019694,32.1362251171,39215.0713866988,18.83,1,False,0.03169896758527335,moderate,0,,,,39123,0.4000730619156875
3645793,(2013 PO43),0.2978790628,0.1332155667,55154039.543693654,143.4172918538,20032.7102429486,21.5,1,False,0.0020770093964935466,distant,0,,,,39123,0.02566809167747918
3694987,(2014 UR116),0.6516883822,0.2914439045,60665427.70480857,157.7485787543,70080.1684068312,19.8,1,True,0.0041311838581761925,distant,0,,,,39123,0.051631707022858186
3761271,(2016 US4),0.0779901901,0.0348782733,50395175.25345546,131.0427960879,57477.4712265125,24.41,1,False,0.0005951505342398697,distant,0,,,,39123,0.0069382251479441475
3772386,(2017 FN64),0.2366137501,0.1058168859,46526521.21305182,120.983117954,72265.6886274522,22.0,1,False,0.0019557584074661135,distant,0,,,,39123,0.024135547047956177
3842885,(2019 LK5),0.9954970531,0.4451998164,69615322.56379838,181.0210297601,18414.2289803039,18.88,1,False,0.005499344769054142,distant,0,,,,39123,0.06892449509087886
3256323,(2004 TF10),0.3837425691,0.1716148941,15284218.464529447,39.7436205656,36023.763304948,20.95,1,False,0.009655450702247987,moderate,0,,,,39123,0.12145534765327591
3276216,(2005 GO59),0.4487867009,0.2007035141,32949922.088026833,85.6798274751,103523.4043964903,20.61,1,False,0.005237950566957257,distant,0,,,,39123,0.06562061869510451
3742875,(2016 CD137),0.0358129403,0.0160160338,27984679.65231589,72.7686857089,46477.5767255311,26.1,1,False,0.0004921476862075562,distant,0,,,,39123,0.005636326805970369
3827143,(2018 QT1),0.2259643771,0.1010543415,19233984.44012751,50.0142144217,53539.1578496124,22.1,1,False,0.004518003125966512,moderate,0,,,,39123,0.05652088604072128
3368738,(2007 DK8),0.912094798,0.407901194,47187424.18260256,122.7016668555,83612.7963109645,19.07,1,False,0.007433434454269732,distant,0,,,,39123,0.09337030608069571
3759245,(2016 RT17),0.1169607054,0.0523064176,26833135.08820389,69.7743193089,32154.288937187,23.53,1,False,0.001676271535981594,distant,0,,,,39123,0.020602989438724004
3843638,(2019 QC4),0.1196850702,0.0535247906,19189987.40736477,49.8998087437,47197.1100897508,23.48,1,False,0.002398507593781321,moderate,0,,,,39123,0.029731648928490378
3374389,(2007 HL4),0.0899580388,0.040230458,34623113.407563314,90.0306342299,14585.7772890625,24.1,1,False,0.0009991936585749843,distant,0,,,,39123,0.012045104071260616
3774093,(2017 HV3),0.1056914799,0.0472666667,27073027.42009593,70.3981123957,32698.0765691565,23.75,1,False,0.0015013396851597369,distant,0,,,,39123,0.018391948764664837
3840689,(2019 FO),0.0682401509,0.0305179233,47124398.89916731,122.5377819335,42766.518753562,24.7,1,False,0.0005568906978994711,distant,0,,,,39123,0.00645464223303167
3893945,(2019 XV),0.008590926,0.0038419789,62333549.3320482,162.0862027659,50111.1551180621,29.2,1,False,5.300220409511238e-05,distant,0,,,,39123,8.5773729339823e-05
